name_old,name_new,track,title,artist
Theme_01,001 Constant Moderato,1,Constant Moderato,Mitsukiyo
Theme_02,002 Luminous memory,2,Luminous memory,Mitsukiyo
Theme_03,003 Mischievous Step,3,Mischievous Step,Mitsukiyo
Theme_04,004 Lovely Picnic,4,Lovely Picnic,Mitsukiyo
Theme_05,005 Colorful Mess,5,Colorful Mess,KARUT
Theme_06,006 Funky Road,6,Funky Road,KARUT
Theme_07,007 Unwelcome School,7,Unwelcome School,Mitsukiyo
Theme_08,008 Shady Girls,8,Shady Girls,Mitsukiyo
Theme_09,009 Midsummer cat,9,Midsummer cat,Mitsukiyo
Theme_10,010 Romantic Smile,10,Romantic Smile,Mitsukiyo
Theme_11,011 Connected Sky,11,Connected Sky,KARUT
Theme_12,012 Shooting Stars,12,Shooting Stars,KARUT
Theme_13,013 Barrier,13,Barrier,KARUT
Theme_14,014 Step by Step,14,Step by Step,KARUT
Theme_15,015 Honey Jam,15,Honey Jam,Mitsukiyo
Theme_16,016 MX Adventure,16,MX Adventure,Mitsukiyo
Theme_17,017 Irasshaimase,17,Irasshaimase,Mitsukiyo
Theme_18,018 Mechanical JUNGLE,18,Mechanical JUNGLE,KARUT
Theme_19,019 Virtual Storm,19,Virtual Storm,KARUT
Theme_20,020 Tech N Tech,20,Tech N Tech,KARUT
Theme_21,021 Midnight Trip,21,Midnight Trip,Nor
Theme_21_Blank,021 Midnight Trip (Short),21,Midnight Trip (Short),Nor
Theme_22,022 Daily Routine 247,22,Daily Routine 247,Nor
Theme_23,023 Party time,23,Party time,Mitsukiyo
Theme_24,024 Endless Carnival,24,Endless Carnival,Mitsukiyo
Theme_24_8bit,024 Endless Carnival (8-Bit Arrange),24,Endless Carnival (8-Bit Arrange),Mitsukiyo
Theme_24_Chorus,024 Endless Carnival (Chorus),24,Endless Carnival (Chorus),Mitsukiyo
Theme_24_Intro,024 Endless Carnival (Intro),24,Endless Carnival (Intro),Mitsukiyo
Theme_24_Verse,024 Endless Carnival (Verse),24,Endless Carnival (Verse),Mitsukiyo
Theme_25,025 Future Bossa,25,Future Bossa,Mitsukiyo
Theme_26,026 Lemonade Diary,26,Lemonade Diary,Mitsukiyo
Theme_27,027 Fade Out,27,Fade Out,KARUT
Theme_28,028 Plug and Play,28,Plug and Play,KARUT
Theme_29,029 Alert,29,Alert,KARUT
Theme_30,030 CrossFire,30,CrossFire,KARUT
Theme_31,031 Hello to Halo,31,Hello to Halo,Nor
Theme_32,032 GGF,32,GGF,Nor
Theme_33,033 Vivid Night,33,Vivid Night,Nor
Theme_34,034 Aoharu,34,Aoharu,Nor
Theme_34_Short,034 Aoharu (Short),34,Aoharu (Short),Nor
Theme_35,035 Morose Dreamer,35,Morose Dreamer,Mitsukiyo
Theme_36,036 Koi is love,36,Koi is love,Mitsukiyo
Theme_37,037 Aira,37,Aira,Mitsukiyo
Theme_38,038 Guruguru Usagi,38,Guruguru Usagi,Mitsukiyo
Theme_39,039 Water Drop,39,Water Drop,KARUT
Theme_40,040 Neo City Dive,40,Neo City Dive,KARUT
Theme_41,041 Interface,41,Interface,KARUT
Theme_42,042 Glitch Street,42,Glitch Street,KARUT
Theme_43,043 KIRISAME,43,KIRISAME,Nor
Theme_44,044 Walkthrough,44,Walkthrough,Nor
Theme_45,045 Signal of Abydos,45,Signal of Abydos,Nor
Theme_46,046 Sugar story,46,Sugar story,Nor
Theme_47,047 Coffee Cats,47,Coffee Cats,Mitsukiyo
Theme_48,048 Out of Control,48,Out of Control,KARUT
Theme_48_Chorus,048 Out of Control (Chorus),48,Out of Control (Chorus),KARUT
Theme_48_Intro,048 Out of Control (Intro),48,Out of Control (Intro),KARUT
Theme_48_Verse,048 Out of Control (Verse),48,Out of Control (Verse),KARUT
Theme_49,049 Mechanical JUNGLE (Hi-Tech Full On MIX),49,Mechanical JUNGLE (Hi-Tech Full On MIX),KARUT
Theme_50,050 Hue,50,Hue,KARUT
Theme_51,051 ARES,51,ARES,Nor
Theme_52,052 Vibes,52,Vibes,Nor
Theme_53,053 Future Lab,53,Future Lab,Nor
Theme_54,054 After the Beep,54,After the Beep,Nor
Theme_55,055 Moment,55,Moment,Nor
Theme_56,056 Fearful Utopia,56,Fearful Utopia,Nor
Theme_57,057 Han-nari,57,Han-nari,Nor
Theme_58,058 SAKURA PUNCH,58,SAKURA PUNCH,Nor
Theme_59,059 RE Aoharu,59,RE Aoharu,Nor
Theme_59_Short,059 RE Aoharu (Short),59,RE Aoharu (Short),Nor
Theme_59_Title,059 RE Aoharu (Title),59,RE Aoharu (Title),Nor
Theme_60,060 SAKURA PUNCH (Hard Arrange),60,SAKURA PUNCH (Hard Arrange),Nor
Theme_61,061 Rolling Beat,61,Rolling Beat,Mitsukiyo
Theme_62,062 Merry Blue,62,Merry Blue,Mitsukiyo
Theme_63,063 Blooming moon,63,Blooming moon,Mitsukiyo
Theme_64,064 Pixel Time,64,Pixel Time,Mitsukiyo
Theme_65,065 Accelerator,65,Accelerator,KARUT
Theme_66,066 Golden Shangri-la,66,Golden Shangri-la,KARUT
Theme_67,"067 Someday, sometime",67,"Someday, sometime",KARUT
Theme_68,068 Virtual Storm (Hard Arrange),68,Virtual Storm (Hard Arrange),Mitsukiyo
Theme_69,069 Snow Pantomime,69,Snow Pantomime,Mitsukiyo
Theme_70,070 Black Suit,70,Black Suit,KARUT
Theme_71,071 Denshi Toujou!,71,Denshi Toujou!,KARUT
Theme_72,072 Kaiten Screw!!!,72,Kaiten Screw!!!,KARUT
Theme_72_8bit,072 Kaiten Screw!!! (8-Bit Arrange),72,Kaiten Screw!!! (8-Bit Arrange),KARUT
Theme_73,073 Interface (Hard Arrange),73,Interface (Hard Arrange),Mitsukiyo
Theme_74,074 Tech N Tech (Hard Arrange),74,Tech N Tech (Hard Arrange),KARUT
Theme_75,075 Alert (Hard Arrange),75,Alert (Hard Arrange),KARUT
Theme_76,076 CrossFire (Hard Arrange),76,CrossFire (Hard Arrange),KARUT
Theme_77,077 Burning Love,77,Burning Love,Mitsukiyo
Theme_78,078 Fevertime,78,Fevertime,KARUT
Theme_79,079 Summer Bounce,79,Summer Bounce,Mitsukiyo
Theme_80,080 Colorful Beach,80,Colorful Beach,Mitsukiyo
Theme_81,081 Summer Bounce (Hard Arrange),81,Summer Bounce (Hard Arrange),KARUT
Theme_82,082 Hifumi Daisuki,82,Hifumi Daisuki,Mitsukiyo
Theme_83,083 PRST Academy,83,PRST Academy,Mitsukiyo
Theme_83_8bit,083 PRST Academy (8-Bit Arrange),83,PRST Academy (8-Bit Arrange),Mitsukiyo
Theme_84,084 PRST Marching,84,PRST Marching,Mitsukiyo
Theme_85,085 Library of Omen,85,Library of Omen,KARUT
Theme_85_8bit,085 Library of Omen (8-Bit Arrange),85,Library of Omen (8-Bit Arrange),KARUT
Theme_85_Chorus,085 Library of Omen (Chorus),85,Library of Omen (Chorus),KARUT
Theme_85_Verse,085 Library of Omen (Verse),85,Library of Omen (Verse),KARUT
Theme_86,086 Summertime Archive,86,Summertime Archive,Mitsukiyo
Theme_87,087 Constant Moderato (Piano Arrange),87,Constant Moderato (Piano Arrange),Mitsukiyo
Theme_88,088 Oriental Drop,88,Oriental Drop,KARUT
Theme_89,089 The Dragon Express,89,The Dragon Express,KARUT
Theme_90,090 Theme 90 (Unassigned),90,Theme 90,
Theme_91,091 FEEEEVER TIME,91,FEEEEVER TIME,Nor
Theme_92,092 Crucial Issue,92,Crucial Issue,Nor
Theme_93,093 Formless Dream,93,Formless Dream,Mitsukiyo
Theme_94,094 Bunny Bunny Carrot Carrot,94,Bunny Bunny Carrot Carrot,Mitsukiyo
Theme_95,095 JACKPOT 777,95,JACKPOT 777,KARUT
Theme_96,096 OperationD,96,OperationD,Nor
Theme_97,097 Blue New Year!,97,Blue New Year!,Mitsukiyo
Theme_98,098 Oxygen Destroyer,98,Oxygen Destroyer,KARUT
Theme_99,099 Nesno wons,99,Nesno wons,Mitsukiyo
Theme_100,100 Undefined Behavior,100,Undefined Behavior,KARUT
Theme_101,101 NRG FielD,101,NRG FielD,KARUT
Theme_102,102 GIVE ME CHOCO,102,GIVE ME CHOCO♡,Mitsukiyo
Theme_103,103 Poppin' Memories,103,Poppin' Memories,KARUT
Theme_104,104 Cotton Candy Island,104,Cotton Candy Island,Mitsukiyo
Theme_105,105 Alkaline Tears,105,Alkaline Tears,Mitsukiyo
Theme_106,106 Blue New Battle,106,Blue New Battle,Mitsukiyo
Theme_107,107 NERINERI CHALLENGE,107,NERINERI CHALLENGE,Nor
Theme_108,108 Starting Pistol,108,Starting Pistol,KARUT
Theme_109,109 Dolce Biblioteca,109,Dolce Biblioteca,Mitsukiyo
Theme_110,110 Codex of Omen,110,Codex of Omen,KARUT
Theme_111,111 Theme 111 (Unassigned),111,Theme 111,
Theme_112,112 Theme 112 (Unassigned),112,Theme 112,
Theme_113,113 Usagi Flap,113,Usagi Flap,Nor
Theme_114,114 Unwelcome Guest,114,Unwelcome Guest,Mitsukiyo
Theme_114_8bit,114 Unwelcome Guest (8-Bit Arrange),114,Unwelcome Guest (8-Bit Arrange),Mitsukiyo
Theme_115,115 Fall into the rabbit hole,115,Fall into the rabbit hole,KARUT
Theme_116,116 IROHANI HOP,116,IROHANI HOP,Nor
Theme_117,117 KARAKURhythm,117,KARAKURhythm,Nor
Theme_118,118 Agnus Dei,118,Agnus Dei,KARUT
Theme_119,119 Blood Stained Faith,119,Blood Stained Faith,KARUT
Theme_120,120 DIVE INTO SUMMER,120,DIVE INTO SUMMER,Mitsukiyo
